layers,frequency,magnitude
3,25,0.00935770895938705
3,26,0.0090430676531401
3,27,0.008754088466546961
3,28,0.00848803813921991
3,29,0.00824256730473647
3,30,0.008015645756691581
3,31,0.0078055104332219495
3,32,0.0076106232948486155
3,33,0.007429636966745083
3,34,0.007261366525246366
3,35,0.007104766184246044
3,36,0.00695890991751191
3,37,0.006822975264180424
3,38,0.006696229725194554
3,39,0.006578019281415887
3,40,0.006467758659119996
3,41,0.006364923042475827
3,42,0.006269040990454626
3,43,0.006179688361301808
3,44,0.006096483083871608
3,45,0.00601908064406002
3,46,0.005947170177779517
3,47,0.005880471080653665
3,48,0.005818730059791357
3,49,0.005761718565452096
3,50,0.005709230550511019
3,51,0.005661080514069158
3,52,0.005617101792443441
3,53,0.005577145066553995
3,54,0.0055410770595426175
3,55,0.005508779402504948
3,56,0.005480147649648535
3,57,0.005455090427073582
3,58,0.0054335287019089485
3,59,0.005415395160630306
3,60,0.0054006336872805824
3,61,0.005389198933960831
3,62,0.005381055977377636
3,63,0.005376180056579527
