model,corruption,severity,acc_mean,acc_std,f1_mean,auc_mean
cnn,stain,1,0.887593984962406,0.009712789987040433,0.8650574753745157,0.9764000408430029
cnn,stain,2,0.6988721804511278,0.04384980197371008,0.5155357957136343,0.9010650060533454
cnn,stain,3,0.5804511278195489,0.03224108895939436,0.21414062597667502,0.7201714177356292
cnn,stain,4,0.5274436090225565,0.034726140004224054,0.11413339779816427,0.5614881280463363
cnn,stain,5,0.5007518796992481,0.040240493329591544,0.15650703142762262,0.4753989830145854
q_plasmanet,blur,1,0.9330827067669173,0.012368935245385015,0.9273351941517133,0.9819942634588678
q_plasmanet,blur,2,0.9334586466165413,0.011480023672633441,0.9276032220361132,0.9820854499022047
q_plasmanet,blur,3,0.9349624060150376,0.009073322094847503,0.9290942736692948,0.9820626799930394
q_plasmanet,blur,4,0.9338345864661655,0.0066986953688742,0.9274203196474395,0.9817378545135051
q_plasmanet,blur,5,0.9323308270676691,0.00715768149047358,0.9253258982545333,0.9814129889814669
q_plasmanet,brightness,1,0.9338345864661655,0.011309480418414558,0.9269461804829063,0.9824471875580384
q_plasmanet,brightness,2,0.9157894736842106,0.007795654644108184,0.9037658270669306,0.9792585976827992
q_plasmanet,brightness,3,0.8669172932330828,0.016569098399277442,0.8384437146351781,0.963065955561451
q_plasmanet,brightness,4,0.7973684210526315,0.038347707459774276,0.7369938806010611,0.9155227080388009
q_plasmanet,brightness,5,0.7090225563909774,0.05868455973269638,0.6281487753043132,0.8367933540341067
q_plasmanet,clean,0,0.9330827067669173,0.012368935245385015,0.9273351941517133,0.981997118995416
q_plasmanet,contrast,1,0.9323308270676691,0.012035947814723414,0.925862626586906,0.9813589950819542
q_plasmanet,contrast,2,0.919548872180451,0.01228293928774775,0.9096828044829662,0.9764350892590332
q_plasmanet,contrast,3,0.8898496240601503,0.02308282922256957,0.8704267190046309,0.9658057646411896
q_plasmanet,contrast,4,0.8473684210526315,0.02773432383597445,0.8107623006708782,0.9440691494828137
q_plasmanet,contrast,5,0.7390977443609023,0.04802254520754552,0.6345186539625216,0.8881132228113918
q_plasmanet,gaussian_noise,1,0.9312030075187969,0.015591309288216339,0.9248318660868025,0.9815810899071857
q_plasmanet,gaussian_noise,2,0.9184210526315789,0.028525636037735294,0.9117292769903997,0.9726234179651663
q_plasmanet,gaussian_noise,3,0.8774436090225564,0.0294339535805464,0.8700490287308653,0.9533012787100617
q_plasmanet,gaussian_noise,4,0.8421052631578947,0.039496055243328394,0.8356669809901589,0.928355915174284
q_plasmanet,gaussian_noise,5,0.8154135338345865,0.04603152807860503,0.8059137023397319,0.8914477670126629
q_plasmanet,jpeg,1,0.9338345864661655,0.01256730424845617,0.9279384684238654,0.981988647748875
q_plasmanet,jpeg,2,0.9312030075187969,0.015189551767546586,0.9254300980329171,0.9815127916232628
q_plasmanet,jpeg,3,0.9319548872180452,0.01270710058733501,0.9258368316655818,0.9808915682431174
q_plasmanet,jpeg,4,0.9218045112781954,0.01592760914610139,0.9150540248144946,0.9760591025293894
q_plasmanet,jpeg,5,0.812781954887218,0.03955416071447411,0.8175165328087737,0.9096043819841274
q_plasmanet,stain,1,0.8748120300751878,0.04149412141553348,0.8444327691253918,0.9683045009887593
q_plasmanet,stain,2,0.706390977443609,0.07042478303134597,0.5268603668796918,0.8687385952169933
q_plasmanet,stain,3,0.5834586466165413,0.03457318313090096,0.21344390394243265,0.7004839369109682
q_plasmanet,stain,4,0.5406015037593985,0.018398021508634853,0.13299375730516905,0.5461439563756734
q_plasmanet,stain,5,0.5146616541353384,0.025718242671409156,0.14178132718510209,0.4751400415904062
